user_id,age,num_flights,num_hotels,total_spent,avg_loyalty_score,page_click_rate,days_since_last_booking,discount_responsiveness,avg_trip_duration_days,avg_flight_distance,RFM_Score,RFM_Category,LTV,LTV_Category,DBSCAN_Cluster
23557,66.0,0,2,2164.0,0.25,82,,2,,0.0,6,Medium RFM,2164.0,Medium LTV,
94883,53.0,2,2,994.0899999999999,0.5,73,904.0,1,1.5,363.41703386161794,3,Low RFM,994.0899999999999,Low LTV,
101486,52.0,1,2,1668.9099999999999,0.375,131,849.0,2,4.0,120.66773766242133,6,Medium RFM,1668.9099999999999,Medium LTV,
101961,45.0,5,5,3671.66,1.25,126,832.0,3,4.8,826.0537551671923,8,High RFM,3671.66,High LTV,
106907,46.0,2,2,30642.12,0.375,240,628.0,1,13.0,3350.585397319503,7,High RFM,30642.12,High LTV,
118043,53.0,3,4,7956.29,0.875,164,827.0,4,4.666666666666667,920.63546246651,9,High RFM,7956.29,High LTV,
120851,53.0,1,1,2386.68,0.25,55,905.0,2,12.0,281.2296225067657,5,Medium RFM,2386.68,Medium LTV,
125845,41.0,3,3,2246.3199999999997,0.6666666666666666,159,845.0,2,3.3333333333333335,900.2617296499367,7,High RFM,2246.3199999999997,Medium LTV,
133058,20.0,1,0,423.51,0.125,73,917.0,1,4.0,338.5372653084415,5,Medium RFM,423.51,Low LTV,
149058,52.0,5,5,6953.66,1.25,142,900.0,1,6.6,1190.4739895444766,8,High RFM,6953.66,High LTV,
152583,39.0,1,1,793.8299999999999,0.25,149,844.0,2,5.0,272.34900599083653,3,Low RFM,793.8299999999999,Low LTV,
153982,47.0,3,3,1337.87,0.75,150,798.0,1,2.6666666666666665,480.95398547562075,6,Medium RFM,1337.87,Low LTV,
160754,47.0,1,1,521.62,0.25,86,820.0,0,4.0,65.76509588751568,4,Medium RFM,521.62,Low LTV,
164522,49.0,1,1,3357.32,0.25,89,961.0,3,15.0,223.2594536357342,7,High RFM,3357.32,High LTV,
167852,19.0,0,0,0.0,0.0,63,,3,,0.0,3,Low RFM,0.0,Low LTV,
171470,26.0,3,2,11038.07,0.375,446,557.0,3,14.333333333333334,5837.953374318527,7,High RFM,11038.07,High LTV,
174997,33.0,3,3,3674.49,0.625,252,937.0,3,5.0,1318.4029999734068,8,High RFM,3674.49,High LTV,
175032,30.0,2,3,2835.25,0.5555555555555556,127,877.0,3,3.5,301.95989308174063,7,High RFM,2835.25,Medium LTV,
181157,55.0,3,3,2614.43,0.75,153,917.0,3,4.666666666666667,447.83525322225415,7,High RFM,2614.43,Medium LTV,
182191,21.0,1,1,537.67,0.125,148,986.0,2,16.0,203.16062922412524,4,Medium RFM,537.67,Low LTV,
187212,56.0,3,3,2146.5699999999997,0.75,128,939.0,2,3.3333333333333335,877.0195265171959,5,Medium RFM,2146.5699999999997,Medium LTV,
189676,37.0,1,2,4705.3099999999995,0.375,93,882.0,1,6.0,285.56893450505845,5,Medium RFM,4705.3099999999995,High LTV,
190866,39.0,5,5,3440.0,1.1111111111111112,186,816.0,1,3.2,1260.8582526523778,8,High RFM,3440.0,High LTV,
195192,30.0,1,1,554.29,0.25,225,889.0,2,3.0,146.80308895771742,3,Low RFM,554.29,Low LTV,
204943,42.0,7,7,15459.76,1.625,292,646.0,3,8.285714285714286,1638.3970461052436,9,High RFM,15459.76,High LTV,
204997,40.0,5,4,9291.63,0.875,439,809.0,4,6.6,1877.1289314425449,9,High RFM,9291.63,High LTV,
205044,42.0,3,3,5470.35,0.6666666666666666,134,879.0,1,5.666666666666667,843.6711898686254,6,Medium RFM,5470.35,High LTV,
206011,41.0,4,3,2101.59,0.875,156,881.0,3,3.25,736.7763995055006,8,High RFM,2101.59,Medium LTV,
